"location","datetime","temp","tempmax","tempmin"
"Berlin,Germany","2018-01-01",8.5,12,4.7
"Berlin,Germany","2018-01-02",4.5,6,3.7
"Berlin,Germany","2018-01-03",4.9,7,2.7
"Berlin,Germany","2018-01-04",6.6,7.7,5.7
"Berlin,Germany","2018-01-05",6.7,9,4
"Berlin,Germany","2018-01-06",4.6,7.5,2
"Berlin,Germany","2018-01-07",1.5,4,-2
"Berlin,Germany","2018-01-08",-1.6,1.7,-4
"Berlin,Germany","2018-01-09",2.1,5,-1.3
"Berlin,Germany","2018-01-10",2.7,4.5,1.7
"Berlin,Germany","2018-01-11",2.1,3.2,1
"Berlin,Germany","2018-01-12",1.7,2,1
"Berlin,Germany","2018-01-13",0.3,1,0
"Berlin,Germany","2018-01-14",-1.4,0,-3
"Berlin,Germany","2018-01-15",0.2,3,-2.3
"Berlin,Germany","2018-01-16",2.8,5,0.7
"Berlin,Germany","2018-01-17",1.3,2,0
"Berlin,Germany","2018-01-18",2.4,5,1
"Berlin,Germany","2018-01-19",2.4,3.2,2
"Berlin,Germany","2018-01-20",1.4,3,0.2
"Berlin,Germany","2018-01-21",0.2,1,-1.3
"Berlin,Germany","2018-01-22",0.5,2,-0.3
"Berlin,Germany","2018-01-23",2.1,5.7,0
"Berlin,Germany","2018-01-24",8.5,10.7,5
"Berlin,Germany","2018-01-25",9.1,10.7,7.7
"Berlin,Germany","2018-01-26",6.6,7.7,5.7
"Berlin,Germany","2018-01-27",5.6,7,4.7
"Berlin,Germany","2018-01-28",7.2,9,5.7
"Berlin,Germany","2018-01-29",9.4,11,6
"Berlin,Germany","2018-01-30",4.6,6,1.7
"Berlin,Germany","2018-01-31",5.1,9,0.7
"Berlin,Germany","2018-02-01",3.8,6,1.5
"Berlin,Germany","2018-02-02",2.4,5,-0.3
"Berlin,Germany","2018-02-03",1.2,3,-1
"Berlin,Germany","2018-02-04",-0.2,2.7,-3
"Berlin,Germany","2018-02-05",-0.8,1,-4.3
"Berlin,Germany","2018-02-06",-3.6,0,-7.3
"Berlin,Germany","2018-02-07",-1.4,2,-3.3
"Berlin,Germany","2018-02-08",-3.7,1.2,-9.3
"Berlin,Germany","2018-02-09",-2.3,1.2,-6.5
"Berlin,Germany","2018-02-10",0.4,2.7,-1.3
"Berlin,Germany","2018-02-11",1.7,4.7,0
"Berlin,Germany","2018-02-12",1.3,4.7,-1.8
"Berlin,Germany","2018-02-13",0.6,4.7,-2.3
"Berlin,Germany","2018-02-14",-0.5,4.7,-4.5
"Berlin,Germany","2018-02-15",-0.4,2.7,-3
"Berlin,Germany","2018-02-16",2.6,7,-0.3
"Berlin,Germany","2018-02-17",2,4.7,-1.3
"Berlin,Germany","2018-02-18",2.7,4,1.5
"Berlin,Germany","2018-02-19",1.8,5,-1.3
"Berlin,Germany","2018-02-20",0.1,3.7,-1.9
"Berlin,Germany","2018-02-21",-0.2,5.1,-3.9
"Berlin,Germany","2018-02-22",-0.2,2.2,-2.9
"Berlin,Germany","2018-02-23",-2.8,-0.3,-5.3
"Berlin,Germany","2018-02-24",-2.7,0.5,-7
"Berlin,Germany","2018-02-25",-5.1,-2,-9.3
"Berlin,Germany","2018-02-26",-5.6,-3,-7.8
"Berlin,Germany","2018-02-27",-8,-4,-13.6
"Berlin,Germany","2018-02-28",-8.9,-6,-11.3
"Berlin,Germany","2018-03-01",-8.6,-5,-11.3
"Berlin,Germany","2018-03-02",-8.2,-4,-12.3
"Berlin,Germany","2018-03-03",-6.9,-2.8,-11.5
"Berlin,Germany","2018-03-04",-2.8,4,-8.8
"Berlin,Germany","2018-03-05",2.5,9,-3
"Berlin,Germany","2018-03-06",1.3,5.7,-2.5
"Berlin,Germany","2018-03-07",1.2,2,0
"Berlin,Germany","2018-03-08",4.5,9,0.7
"Berlin,Germany","2018-03-09",4.8,8,2
"Berlin,Germany","2018-03-10",5.1,9.2,-0.3
"Berlin,Germany","2018-03-11",10.8,16.7,5.5
"Berlin,Germany","2018-03-12",8.5,9.7,6.5
"Berlin,Germany","2018-03-13",9,11.7,5.2
"Berlin,Germany","2018-03-14",4,5.7,3
"Berlin,Germany","2018-03-15",3,5,2
"Berlin,Germany","2018-03-16",0.2,2,-2
"Berlin,Germany","2018-03-17",-3.1,-1.3,-5.3
"Berlin,Germany","2018-03-18",-2.4,1,-6
"Berlin,Germany","2018-03-19",-1.4,3.7,-6.3
"Berlin,Germany","2018-03-20",-1.9,2.7,-6.8
"Berlin,Germany","2018-03-21",0.5,6.7,-6.8
"Berlin,Germany","2018-03-22",2.3,3.7,0.7
"Berlin,Germany","2018-03-23",2.8,4,2
"Berlin,Germany","2018-03-24",3.4,7,0.7
"Berlin,Germany","2018-03-25",4.8,11,-2.3
"Berlin,Germany","2018-03-26",5.8,8.1,3
"Berlin,Germany","2018-03-27",4,7.7,0.4
"Berlin,Germany","2018-03-28",1.5,2.5,0.1
"Berlin,Germany","2018-03-29",4.9,8,2
"Berlin,Germany","2018-03-30",5.2,11,0.5
"Berlin,Germany","2018-03-31",3.5,5.2,1
"Berlin,Germany","2018-04-01",1.4,2.2,1
"Berlin,Germany","2018-04-02",4.3,9.5,-1
"Berlin,Germany","2018-04-03",12,18.2,5.7
"Berlin,Germany","2018-04-04",15.5,20.7,11.2
"Berlin,Germany","2018-04-05",10.7,15,5.7
"Berlin,Germany","2018-04-06",6.9,13,0.7
"Berlin,Germany","2018-04-07",12.3,20.2,5.2
"Berlin,Germany","2018-04-08",15,20,10.5
"Berlin,Germany","2018-04-09",14.3,22,5
"Berlin,Germany","2018-04-10",17.2,24,10.7
"Berlin,Germany","2018-04-11",14.3,18,11
"Berlin,Germany","2018-04-12",16.3,23.7,10.7
"Berlin,Germany","2018-04-13",16.5,20,12.7
